item_id,instrument,alpha,key,is_reverse_keyed,text,construct_reported,text.1,text_norm,is_empty
it_100001,16PF,0.78,1,False,Act wild and crazy.,Gregariousness,,,True
it_100002,16PF,0.8,1,False,Am afraid that I will do the wrong thing.,Anxiety,,,True
it_100003,16PF,0.76,1,False,Am annoyed by others' mistakes.,Emotionality,,,True
it_100004,16PF,0.85,-1,True,Am easily discouraged.,Emotional Stability,,,True
it_100005,16PF,0.8,1,False,Am easily hurt.,Anxiety,,,True
it_100006,16PF,0.76,1,False,Am easily put out.,Emotionality,,,True
it_100007,16PF,0.81,1,False,Am exacting in my work.,Orderliness,,,True
it_100008,16PF,0.86,1,False,Am hard to get to know.,Reserve,,,True
it_100009,16PF,0.81,1,False,Am not afraid of providing criticism.,Dominance,,,True
it_100010,16PF,0.81,1,False,Am not afraid of providing criticism.,Assertiveness,,,True
it_100011,16PF,0.81,-1,True,Am not bothered by disorder.,Orderliness,,,True
it_100012,16PF,0.81,-1,True,Am not bothered by messy people.,Orderliness,,,True
it_100013,16PF,0.76,-1,True,Am not easily annoyed.,Emotionality,,,True
it_100014,16PF,0.8,-1,True,Am not easily bothered by things.,Anxiety,,,True
it_100015,16PF,0.85,1,False,Am not easily frustrated.,Emotional Stability,,,True
it_100016,16PF,0.82,-1,True,Am not interested in abstract ideas.,Complexity,,,True
it_100017,16PF,0.82,-1,True,Am not interested in theoretical discussions.,Complexity,,,True
it_100018,16PF,0.8,-1,True,Am not really interested in others.,Warmth,,,True
it_100019,16PF,0.86,-1,True,Am open about my feelings.,Reserve,,,True
it_100020,16PF,0.86,-1,True,Am open about myself to others.,Reserve,,,True
it_100021,16PF,0.76,1,False,Am quick to judge others.,Emotionality,,,True
it_100022,16PF,0.8,-1,True,Am quiet around strangers.,Friendliness,,,True
it_100023,16PF,0.85,1,False,Am relaxed most of the time.,Emotional Stability,,,True
it_100024,16PF,0.78,-1,True,Am the last to laugh at a joke.,Gregariousness,,,True
it_100025,16PF,0.78,1,False,Am the life of the party.,Gregariousness,,,True
it_100026,16PF,0.8,1,False,Am wary of others.,Distrust,,,True
it_100027,16PF,0.86,-1,True,Am willing to talk about myself.,Reserve,,,True
